latitude,longitude,date
42.271,-85.648,11/12/2014
39.661,-84.109,11/13/2014
41.72,-86.173,11/14/2014
-34.864,138.582,11/19/2014
30.208,-95.453,11/21/2014
46.731,-71.262,03/12/2015
21.036,-89.628,03/19/2015
41.76,-87.742,04/13/2015
24.798,-107.425,04/30/2015
37.68,-97.225,06/03/2015
30.647,-88.119,06/04/2015
43.114,-77.614,06/05/2015
41.535,-83.636,06/11/2015
42.564,-87.921,06/12/2015
25.479,-100.977,06/25/2015
38.067,-78.489,07/30/2015
38.185,140.297,08/20/2015
36.528,136.582,08/21/2015
36.691,137.087,08/22/2015
24.962,121.159,08/23/2015
37.238,127.109,08/24/2015
51.421,-0.41300000000000003,08/26/2015
47.834,-122.276,10/01/2015
41.709,-72.766,10/15/2015
45.414,-74.039,10/16/2015
40.283,-3.689,10/24/2015
43.183,-88.112,11/05/2015
42.945,-88.106,11/06/2015
44.271,-88.488,11/07/2015
38.988,-84.647,11/11/2015
29.545,-95.391,11/12/2015
-37.975,145.106,11/18/2015
35.306,136.703,11/20/2015
33.768,-117.991,12/21/2015
40.877,-74.041,03/15/2016
35.747,-78.827,03/16/2016
30.156,-92.043,03/17/2016
30.022,-95.268,03/18/2016
25.127,121.472,04/09/2016
36.016,-95.887,04/21/2016
38.392,140.877,04/29/2016
39.709,-105.016,06/01/2016
41.263,-81.513,06/22/2016
39.636,-86.089,06/23/2016
34.068,-81.139,08/10/2016
40.11,-83.189,08/11/2016
51.042,-113.916,08/12/2016
51.559,-0.273,08/23/2016
40.281,-74.672,08/25/2016
28.403,-81.407,08/26/2016
38.205,-85.666,08/27/2016
41.178,-96.104,10/26/2016
36.326,-119.607,10/27/2016
43.445,-80.58,11/08/2016
45.269,-75.784,11/09/2016
52.091,-106.529,11/10/2016
47.667,-122.093,11/11/2016
40.522,-74.853,11/17/2016
40.567,-75.558,11/18/2016
25.027,121.434,01/07/2017
37.39,126.632,01/09/2017
28.191,-82.393,02/08/2017
28.044,-82.581,02/09/2017
19.548,-99.271,02/16/2017
43.732,-79.283,03/31/2017
32.919,-96.768,05/11/2017
39.255,-94.599,05/18/2017
64.074,-21.912,05/23/2017
48.686,2.218,06/22/2017
37.244,-121.785,06/29/2017
44.594,-79.454,07/25/2017
43.771,-79.638,07/26/2017
34.201,-118.38,08/09/2017
37.662,-122.402,08/22/2017
40.619,-73.653,08/23/2017
-33.722,150.841,08/30/2017
34.726,137.765,09/01/2017
44.736,-85.57,10/26/2017
42.752,-84.448,10/27/2017
40.74,-96.699,10/28/2017
43.216,-79.643,11/02/2017
44.939,-92.964,11/15/2017
30.202,-81.756,02/08/2018
19.482,-99.13,02/22/2018
35.876,128.73,03/07/2018
47.166,-122.158,05/30/2018
44.999,-93.216,06/27/2018
33.986,-117.558,06/28/2018
39.127,-123.197,07/19/2018
43.707,-79.348,07/24/2018
33.218,-96.664,07/25/2018
30.47,-97.59,07/26/2018
32.88,-79.794,08/08/2018
34.12,-84.516,08/09/2018
53.308,-113.558,08/22/2018
19.408,-99.27,08/23/2018
-37.657,145.014,08/29/2018
36.468,127.269,08/31/2018
38.409,-121.41,09/27/2018
39.404,-76.789,10/18/2018
29.534,-95.137,10/19/2018
41.575,-90.524,10/20/2018
35.988,-115.139,11/08/2018
64.852,-147.708,11/20/2018
26.288,-80.283,02/07/2019
40.673,-74.105,03/07/2019
37.539,127.215,04/30/2019
-27.591,152.82,05/02/2019
